"line_number","sentence","subject","extracted_subject","object","extracted_object","relation","extracted_relation","relation_definition","extracted_relation_definition","definition_similarity","NOTA"
"24","Hamlet was written by William Shakespeare.","Hamlet","Hamlet","William Shakespeare","William Shakespeare","creator","creator","The subject entity was created by the person specified by the object entity.","The subject entity was created by the person specified by the object entity.","1.0","false"
"25","Don Quixote was written by Miguel de Cervantes.","Don Quixote","Don Quixote","Miguel de Cervantes","Miguel de Cervantes","creator","creator","The subject entity was created by the person specified by the object entity.","The subject entity was created by the person specified by the object entity.","1.0","false"
"26","The United States has a population of 331 million.","United States","United States","331 million","331 million","population","population","The subject entity has the population specified by the object entity.","The subject entity has the population specified by the object entity.","1.0","false"
"27","China has a population of 1.4 billion.","China","China","1.4 billion","1.4 billion","population","population","The subject entity has the population specified by the object entity.","The subject entity has the population specified by the object entity.","1.0","false"
"28","India has a population of 1.38 billion.","India","India","1.38 billion","1.38 billion","population","population","The subject entity has the population specified by the object entity.","The subject entity has the population specified by the object entity.","1.0","false"
"29","Tokyo has a population of 37 million.","Tokyo","Tokyo","37 million","37 million","population","population","The subject entity has the population specified by the object entity.","The subject entity has the population specified by the object entity.","1.0","false"
"30","Brazil has a population of 212 million.","Brazil","Brazil","212 million","212 million","population","population","The subject entity has the population specified by the object entity.","The subject entity has the population specified by the object entity.","1.0","false"
"31","The United States is a federal republic.","United States","United States","federal republic","federal republic","governmentType","governmentType","The subject entity has the form of government specified by the object entity.","The subject entity has the form of government specified by the object entity.","1.0","false"
"32","France is a unitary republic.","France","France","unitary republic","unitary republic","governmentType","governmentType","The subject entity has the form of government specified by the object entity.","The subject entity has the form of government specified by the object entity.","1.0","false"
"33","The United Kingdom is a constitutional monarchy.","United Kingdom","United Kingdom","constitutional monarchy","constitutional monarchy","governmentType","governmentType","The subject entity has the form of government specified by the object entity.","The subject entity has the form of government specified by the object entity.","1.0","false"
"34","Sweden is a parliamentary democracy.","Sweden","Sweden","parliamentary democracy","parliamentary democracy","governmentType","governmentType","The subject entity has the form of government specified by the object entity.","The subject entity has the form of government specified by the object entity.","1.0","false"
"35","Saudi Arabia is an absolute monarchy.","Saudi Arabia","Saudi Arabia","absolute monarchy","absolute monarchy","governmentType","governmentType","The subject entity has the form of government specified by the object entity.","The subject entity has the form of government specified by the object entity.","1.0","false"
"36","English is the official language of the United Kingdom.","English","English","United Kingdom","United Kingdom","officialLanguage","officialLanguage","The subject entity is the official language of the country specified by the object entity.","The subject entity is the official language of the country specified by the object entity.","1.0","false"
"37","Spanish is the official language of Spain.","Spanish","Spanish","Spain","Spain","officialLanguage","officialLanguage","The subject entity is the official language of the country specified by the object entity.","The subject entity is the official language of the country specified by the object entity.","1.0","false"
"38","Portuguese is the official language of Brazil.","Portuguese","Portuguese","Brazil","Brazil","officialLanguage","officialLanguage","The subject entity is the official language of the country specified by the object entity.","The subject entity is the official language of the country specified by the object entity.","1.0","false"
"39","Mandarin is the official language of China.","Mandarin","Mandarin","China","China","officialLanguage","officialLanguage","The subject entity is the official language of the country specified by the object entity.","The subject entity is the official language of the country specified by the object entity.","1.0","false"
"40","Arabic is the official language of Egypt.","Arabic","Arabic","Egypt","Egypt","officialLanguage","officialLanguage","The subject entity is the official language of the country specified by the object entity.","The subject entity is the official language of the country specified by the object entity.","1.0","false"
"41","The Grand Canyon receives 6 million visitors annually.","Grand Canyon","Grand Canyon","6 million","6 million","visitorCount","visitorCount","The subject entity receives the number of visitors specified by the object entity.","The subject entity receives the number of visitors specified by the object entity.","1.0","false"
"42","The Eiffel Tower receives 7 million visitors annually.","Eiffel Tower","Eiffel Tower","7 million","7 million","visitorCount","visitorCount","The subject entity receives the number of visitors specified by the object entity.","The subject entity receives the number of visitors specified by the object entity.","1.0","false"
"43","The Louvre Museum receives 10 million visitors annually.","Louvre Museum","Louvre Museum","10 million","10 million","visitorCount","visitorCount","The subject entity receives the number of visitors specified by the object entity.","The subject entity receives the number of visitors specified by the object entity.","1.0","false"
"44","The Great Wall of China receives 10 million visitors annually.","Great Wall of China","Great Wall of China","10 million","10 million","visitorCount","visitorCount","The subject entity receives the number of visitors specified by the object entity.","The subject entity receives the number of visitors specified by the object entity.","1.0","false"
"45","Disney World receives 58 million visitors annually.","Disney World","Disney World","58 million","58 million","visitorCount","visitorCount","The subject entity receives the number of visitors specified by the object entity.","The subject entity receives the number of visitors specified by the object entity.","1.0","false"
"46","The United States is part of North America.","United States","United States","North America","North America","isPartOf","isPartOf","The subject entity is a part of or contained within the object entity.","The subject entity is a part of or contained within the object entity.","1.0","false"
"47","France is part of the European Union.","France","France","European Union","European Union","isPartOf","isPartOf","The subject entity is a part of or contained within the object entity.","The subject entity is a part of or contained within the object entity.","1.0","false"
"48","California is part of the United States.","California","California","United States","United States","isPartOf","isPartOf","The subject entity is a part of or contained within the object entity.","The subject entity is a part of or contained within the object entity.","1.0","false"
"49","Sicily is part of Italy.","Sicily","Sicily","Italy","Italy","isPartOf","isPartOf","The subject entity is a part of or contained within the object entity.","The subject entity is a part of or contained within the object entity.","1.0","false"
"50","Hokkaido is part of Japan.","Hokkaido","Hokkaido","Japan","Japan","isPartOf","isPartOf","The subject entity is a part of or contained within the object entity.","The subject entity is a part of or contained within the object entity.","1.0","false"
"51","","John Doe","","","NYC","birthPlace","birthPlace","The subject entity was born in the location specified by the object entity.","The subject entity was born in the location specified by the object entity.","1.0","true"
"52","Great Wall is good.","","","","","location","location","The subject entity is located in the place specified by the object entity.","The subject entity is located in the place specified by the object entity.","1.0","true"
"53","The Mona Lisa was painted.","","","","Leonardo","creator","creator","The subject entity was created by the person specified by the object entity.","The subject entity was created by the person specified by the object entity.","1.0","true"
"54","Andorra is a small country.","Andorra","","parliamentary co-principality","","governmentType","population","The subject entity has the form of government specified by the object entity.","The subject entity has the population specified by the object entity.","0.7","true"
"55","Spanish is spoken by many.","Spanish","","Mexico","","officialLanguage","isPartOf","The subject entity is the official language of the country specified by the object entity.","The subject entity is a part of or contained within the object entity.","0.6","true" 
