"line_number","sentence","subject","extracted_subject","object","extracted_object","relation","extracted_relation","relation_definition","extracted_relation_definition","definition_similarity","NOTA"
"4","Alan B. Miller Hall, in Virginia, USA, was designed by Robert A.M. Stern. The address of the hall is ""101 Ukrop Way"" and the current tenants are the Mason School of Business.","Alan B. Miller Hall","Alan B. Miller Hall","Virginia","Virginia","location","location","The subject entity is located in the place specified by the object entity.","The subject entity is located in the place specified by the object entity.","1.0","false"
"4","Alan B. Miller Hall, in Virginia, USA, was designed by Robert A.M. Stern. The address of the hall is ""101 Ukrop Way"" and the current tenants are the Mason School of Business.","","Mason School of Business","","USA","country","country","The subject entity is located in the country specified by the object entity.","The subject entity is located in the country specified by the object entity.","1.0","true"
"4","Alan B. Miller Hall, in Virginia, USA, was designed by Robert A.M. Stern. The address of the hall is ""101 Ukrop Way"" and the current tenants are the Mason School of Business.","Mason School of Business","","United States","","country","country","The subject entity is located in the country specified by the object entity.","The subject entity is located in the country specified by the object entity.","1.0","invalid"
"5","Liselotte Grschebina was born in Karlsruhe and died in Israel. Ethnic groups in Israel include Arabs.","Liselotte Grschebina","Liselotte Grschebina","Karlsruhe","Karlsruhe","birthPlace","bornIn","The subject entity was born in the location specified by the object entity.","The subject entity was born in the location specified by the object entity.","1.0","false"
"5","Liselotte Grschebina was born in Karlsruhe and died in Israel. Ethnic groups in Israel include Arabs.","Liselotte Grschebina","Liselotte Grschebina","Israel","Israel","deathPlace","diedIn","The subject entity died in the location specified by the object entity.","The subject entity died in the location specified by the object entity.","1.0","false"
"6","Agremiação Sportiva Arapiraquense managed by Vica has 17000 members and play in the Campeonato Brasileiro Série C league which is from Brazil.","Agremiação Sportiva Arapiraquense","Agremiação Sportiva Arapiraquense","Campeonato Brasileiro Série C","Campeonato Brasileiro Série C","league","league","The subject entity participates or competes in the league specified by the object entity.","The subject entity plays in or is a part of the league specified by the object entity.","0.9737996459007263","false"
"6","Agremiação Sportiva Arapiraquense managed by Vica has 17000 members and play in the Campeonato Brasileiro Série C league which is from Brazil.","Campeonato Brasileiro Série C","Campeonato Brasileiro Série C","Brazil","Brazil","country","country","The subject entity is located in the country specified by the object entity.","The subject entity is located in or associated with the country specified by the object entity.","0.9647445678710938","false"
"6","Agremiação Sportiva Arapiraquense managed by Vica has 17000 members and play in the Campeonato Brasileiro Série C league which is from Brazil.","Agremiação Sportiva Arapiraquense","Agremiação Sportiva Arapiraquense","17000","17000","numberOfMembers","numberOfMembers","The subject entity has the number of members as specified by the object entity.","The subject entity has the number of members specified by the object entity.","0.9914048910140991","false"
"7","Bananaman first aired on the 10th of March, 1983 and was created by Steve Bright. It was broadcast by the BBC.","","Bananaman","","10th of March, 1983","creator","firstAired","The subject entity is the creator/author of the object.","The subject entity first appeared or was first broadcast on the date specified by the object entity.","0.6873413920402527","true"
"7","Bananaman first aired on the 10th of March, 1983 and was created by Steve Bright. It was broadcast by the BBC.","Bananaman","Bananaman","Steve Bright","Steve Bright","creator","creator","The subject entity is the creator/author of the object.","The subject entity was created by the person or entity specified by the object entity.","0.8658027648925781","true"
"7","Bananaman first aired on the 10th of March, 1983 and was created by Steve Bright. It was broadcast by the BBC.","Bananaman","Bananaman","BBC","BBC","broadcastedBy","broadcaster","The subject entity is broadcasted or aired by the object entity.","The subject entity was broadcast by the organization or entity specified by the object entity.","0.9245532155036926","false"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","11th Mississippi Infantry Monument","11th Mississippi Infantry Monument","2000","2000","established","builtIn","The subject entity was established or created in the year specified by the object entity.","The subject entity was built or constructed in the year specified by the object entity.","0.9446760416030884","false"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","","11th Mississippi Infantry Monument","","Gettysburg","location","location","The subject entity is located in the place specified by the object entity.","The subject entity is located in the place specified by the object entity.","1.0","true"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","11th Mississippi Infantry Monument","","Adams County, Pennsylvania","","location","location","The subject entity is located in the place specified by the object entity.","The subject entity is located in the place specified by the object entity.","1.0","invalid"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","","Gettysburg","","Adams County","municipality","isPartOf","The subject entity is located in the municipality specified by the object entity.","The subject entity is a part of or contained within the object entity.","0.8195375204086304","true"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","11th Mississippi Infantry Monument","","Gettysburg, Pennsylvania","","municipality","isPartOf","The subject entity is located in the municipality specified by the object entity.","The subject entity is a part of or contained within the object entity.","0.8195375204086304","invalid"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","","Adams County","","Pennsylvania","category","state","The subject entity falls under the category specified by the object entity.","The subject entity is located in the state specified by the object entity.","0.8456026911735535","true"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","","Pennsylvania","","USA","category","country","The subject entity falls under the category specified by the object entity.","The subject entity is located in the country specified by the object entity.","0.8271057605743408","true"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","11th Mississippi Infantry Monument","11th Mississippi Infantry Monument","Contributing property","Contributing Property","category","classification","The subject entity falls under the category specified by the object entity.","The subject entity is classified as the type specified by the object entity.","0.9132677316665649","false"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","","Cumberland county","","north of","hasToItsNorth","relativeLocation","The subject entity has the object entity located to its north.","The subject entity is located relative to the object entity in the manner specified by the relation's value (e.g., north of, south of, etc.).","0.8118619918823242","true"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","Adams County, Pennsylvania","","Cumberland County, Pennsylvania","","hasToItsNorth","relativeLocation","The subject entity has the object entity located to its north.","The subject entity is located relative to the object entity in the manner specified by the relation's value (e.g., north of, south of, etc.).","0.8118619918823242","invalid"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","","Cumberland county","","Adams County","country","relativeLocationTarget","The subject entity is located in the country specified by the object entity.","The object entity is the target of the relative location specified by the subject entity.","0.861190676689148","true"
"8","The 11th Mississippi Infantry Monument, built in 2000, is placed in the municipality of Gettysburg in Pennsylvania which is in Adams County, USA. The 11th Mississippi Infantry Monument is classified as a Contributing Property. Cumberland county, Pennsylvania is to the north of Adams County.","11th Mississippi Infantry Monument","","""United States""","","country","relativeLocationTarget","The subject entity is located in the country specified by the object entity.","The object entity is the target of the relative location specified by the subject entity.","0.861190676689148","invalid"
"9","The government type in France is unitary state.","France","France","Unitary state","unitary state","governmentType","governmentType","The subject entity operates under the form of government specified by the object entity.","The subject entity has the government type specified by the object entity.","0.9359694123268127","false"
"10","The College of William and Mary is the owner of the Alan B. Miller Hall, located in Virginia at 101 Ukrop Way and currently occupied by the Mason School of Business.","","College of William and Mary","","Alan B. Miller Hall","owner","owns","The subject entity is owned by the object entity.","The subject entity is the legal owner of the object entity.","0.9319661855697632","true"
"10","The College of William and Mary is the owner of the Alan B. Miller Hall, located in Virginia at 101 Ukrop Way and currently occupied by the Mason School of Business.","Alan B. Miller Hall","","College of William & Mary","","owner","owns","The subject entity is owned by the object entity.","The subject entity is the legal owner of the object entity.","0.9319661855697632","invalid"
